,text,Degree of Injury
4410,employe work on split rim wheel is kill when tire flie,Fatal
4411,employe fall off tractor and is kill when run over,Fatal
4412,employe sustain heart attack and die,Fatal
4413,employe is struck and kill by tractor unit of semi-trail,Fatal
4414,employe posit util pole is struck and kill by pu,Fatal
4415,employe involv in a motor vehicl accid and die by na,Fatal
4416,electr shock - direct contact with energ parts. employ,Fatal
4417,thrift store worker is shot and kill by former employe,Fatal
4418,employe use cut torch sustain seizur and die from ,Fatal
4419,employe die of heart attack while repair drywal,Fatal
4420,"two employe are electrocuted, one injur when excav b",Fatal
4421,employe is kill when excav cave in,Fatal
4422,employe is kill when eject from compani vehicl,Fatal
4423,employe fall from q deck and is kill,Fatal
4424,employe fall from elev work platform and is kill,Fatal
4425,employe fall from ladder and is kill,Fatal
4426,employe fall from communic tower and is kill,Fatal
4427,employe die after fall while conduct inventori,Fatal
4428,employe is struck by a beam and is kill,Fatal
4429,employe is kill when struck by lightn while frame re,Fatal
4430,employe is kill when pipe saw kick back and strike empl,Fatal
4431,employe is kill when precast concret plank collaps du,Fatal
4432,employe sustain heart attack and die while eat lunch,Fatal
4433,employe is struck and kill by fall a-leg,Fatal
4434,employe is run over and kill while remov fertil sp,Fatal
4435,warehous worker is kill in fall from order picker elev,Fatal
4436,employe fall from unsecur materi lift platform and i,Fatal
4437,employe fall from roof and is kill,Fatal
4438,employe is crush and kill when build roof collapses.,Fatal
4439,scrap yard worker is kill when militari ordnanc explod,Fatal
4440,employe is caught and kill beneath asteel plate when it f,Fatal
4441,logger is struck and kill by snag tree top,Fatal
4442,employe fall from ladder and is kill,Fatal
4443,employe fall from 10 foot high wall and is killed.,Nonfatal
4444,fire fighter/emt is kill in collis of ambul and bac,Fatal
4445,employe is burn when a dust collector explod and is kil,Nonfatal
4446,employe drown when ride lawn mower roll over into pond,Fatal
4447,employe is kill in fall while trim or cut down tr,Fatal
4448,employe fall from roof and is kill,Fatal
4449,employe is electrocut while instal light fixtur,Fatal
4450,employe struck and kill by fall bottl,Fatal
4451,employe fall from patio deck and is kill,Fatal
4452,worker fall down stair and is kill,Fatal
4453,employe is crush and kill by machin hydraul arm,Fatal
4454,employe die from non-work relat ill,Nonfatal
4455,employe is kill after fall into basement hole,Fatal
4456,worker lose conscious while pick lemon and later di,Fatal
4457,landscap servic worker cut limb is kill in fall f,Fatal
4458,one employe is kill anoth injur when struck by a pow,Fatal
4459,employe is kill when struck by steel beam,Fatal
4460,employe is struck and kill by vehicl,Fatal
4461,employe die of possibl heart attack,Fatal
4462,employe pass out after work and later die in hospit af,Fatal
4463,worker cut branch is kill in fall from tree,Fatal
4464,worker struck by golf cart is kill when head strike pavem,Fatal
4465,employe fall from roof and is kill,Fatal
4466,employe is run over and kill by railroad car,Fatal
4467,berri farm labor collaps and die,Fatal
4468,employe is struck in neck and kill by arm on mixer,Fatal
4469,landscap worker is struck and kill by hit-and-run motor,Fatal
4470,employe sustain heart attack and later die,Fatal
4471,"one employe die at accid scene, and anoth die at hos",Fatal
4472,employe suffer from heart attack at work and die,Fatal
4473,worker pin against a dumpster by van and is kill,Fatal
4474,window washer fall from 10-stori build and is kill,Fatal
4475,worker die from possibl heart attack,Fatal
4476,employe contact a live wire and is electrocut,Fatal
4477,state trooper die of heat stroke dure physic train t,Fatal
4478,employe die after be struck by tree,Fatal
4479,employe is injur in fall from ladder and later dies.,Fatal
4480,employe is kill when run over by tractor,Fatal
4481,employe is kill in fall,Fatal
4482,employe is caught in equip and kill,Fatal
4483,employe die after back injuri,Fatal
4484,employe is kill in fall,Fatal
4485,employe fall from scaffold and is kill,Fatal
4486,employe is kill in fall from scaffold,Fatal
4487,employe is kill when run over by truck,Fatal
4488,employe is crush and kill by fall boom arm,Fatal
4489,employe was thrown from atv and is killd,Fatal
4490,employe crush by ton of wheat,Fatal
4491,employe is engulf in grain and kill,Fatal
4492,employe is kill when struck by dump truck,Fatal
4493,employe is kill in motor vehicl accid,Fatal
4494,"employe suffer from possibl heat stroke, later die",Fatal
4495,employe fall from roof and is kill,Fatal
4496,employe is kill in fall,Fatal
4497,employe die from cardiac arrest,Fatal
4498,employe is struck and kill by fall tree,Fatal
4499,employe is crush and kill when caught between grain ele,Fatal
4500,employe is kill and anoth injur when struck by fallin,Fatal
4501,employe is kill in fall,Fatal
4502,employe is injur in fall and later die,Fatal
4503,employe is kill from unknown sourc,Fatal
4504,employe is kill when crush by ambul,Fatal
4505,employe is struck by forklift and kill,Fatal
4506,employe is kill in fall,Fatal
4507,employe is kill in fall,Fatal
4508,employe is kill in fall from industri truck,Nonfatal
4509,employe suffer heart attack and die,Fatal
4510,employe die from heart attack,Fatal
4511,employe fall from roof and is kill,Fatal
4512,employe is kill in fall from joist,Fatal
4513,employe kill by electr shock,Fatal
4514,employe is electrocut while instal pvc plumb in ce,Fatal
4515,employe is electrocut by high voltag wire,Fatal
4516,employe is kill when run over by dump truck dure asphal,Fatal
4517,employe is burn and kill by arc flash while align ne,Fatal
4518,employe crush by fall bale of hay,Fatal
4519,employe is struck and kill by raceway vehicl,Fatal
4520,employe is struck by tree and later die,Fatal
4521,employe clean window fall from roof and is kill,Fatal
4522,employe is electrocut insid open excav when crane m,Fatal
4523,employe is kill when struck by tree,Fatal
4524,employe is kill in structur collaps,Fatal
4525,employe was found in his truck dead,Fatal
4526,employe fall from scissor lift that tip over and is kill,Fatal
4527,employe drown while oper a catepillar d6t dozer,Fatal
4528,employe drown while oper a dozer,Fatal
4529,employe die from unknown caus,Fatal
4530,employe found dead under trailer truck,Fatal
4531,employe collaps and die from a heart attack,Fatal
4532,employe fall and is kill in structur collaps,Fatal
4533,employe is kill in fall from ladder,Fatal
4534,employe struck by tree is kill,Fatal
4535,employe is kill in fall through unguard shaft,Fatal
4536,employe is kill when wall collaps,Fatal
4537,employe is found dead on the floor,Fatal
4538,employe is electrocut while tri to energ hvac unit ,Fatal
4539,"employe struck by blade of log skidder, is kill",Fatal
4540,worker fall from tree and is kill,Fatal
4541,employe drive an atv is kill,Fatal
4542,employe is struck by bank-out equip and kill,Fatal
4543,employe is kill in fall from ladder,Fatal
4544,employe is kill in fall from ladder,Fatal
4545,employe is kill in fall from ladder when receiv electri,Fatal
4546,employe is electrocut while remov recess light,Fatal
4547,"employe oper a tractor, roll over and is kill",Fatal
4548,employe is electrocut by power line while work on elev,Fatal
4549,employe drown in water at bottom of excav,Fatal
4550,employe is electrocut by drop light while dig hole fo,Fatal
4551,employe is kill when struck and pin by fall spoil t,Fatal
4552,employe is kill by gun shot,Fatal
4553,employe fall from platform and is kill,Fatal
4554,employe was crush and kill in a roll-ov accid,Fatal
4555,employe crush and kill in a roll over accid,Fatal
4556,employe fall from scaffold and is kill,Fatal
4557,employe is struck and kill by fall tree,Fatal
4558,employe is kill in fall off water tower,Fatal
4559,employe is kill when caught between equip,Fatal
4560,employe is kill when struck by unstabl load,Fatal
4561,employe is kill when crush by cross tie,Fatal
4562,employe is kill in fall through hole in roof,Fatal
4563,employe is crush and kill when dump truck roll over,Fatal
4564,employe die after fall,Fatal
4565,employe is kill when impal by steel,Fatal
4566,employe is kill when stab by cowork,Fatal
4567,employe is crush by equip and kill,Fatal
4568,employe is kill when crush by yarder roll-ov,Fatal
4569,employe electrocut and kill,Fatal
4570,one employe is electrocut and two serious injur when ,Fatal
4571,employe fall from ladder and is kill,Fatal
4572,employe kill while limb tree,Fatal
4573,"employe suffer heatstroke, falls, and is kill",Fatal
4574,employe is kill when asphyxi in confin space,Fatal
4575,employe is kill in fall,Fatal
4576,employe is kill in fall,Fatal
4577,employe is kill in fall on barg,Fatal
4578,employe kill when engulf in grain bin,Fatal
4579,employe die from heart attack,Fatal
4580,employe kill when crush between motor vehicl,Fatal
4581,employe is kill in fall,Fatal
4582,employe is kill when crush between lift arm and skid l,Fatal
4583,employe is kill when struck by fall tree,Fatal
4584,employe fall from truck and later die,Fatal
4585,employe is kill in fall,Fatal
4586,employe run over and kill,Fatal
4587,employe is burn in aceton vapor fire and later die,Fatal
4588,employe is kill when boom system overturn,Fatal
4589,employe fall from scaffold and is kill,Fatal
4590,employe has heart attack and die,Fatal
4591,employe is kill in fall from tree,Fatal
4592,employe is kill in fall,Fatal
4593,employe is kill when crush by iron gate,Fatal
4594,employe is struck by blast explos and later die,Fatal
4595,employe struck by limb fall from a front end loader bucket,Fatal
4596,employe fall and is kill,Fatal
4597,employe is kill in skid steer roll-ov,Fatal
4598,employe fall from scaffold and is kill,Fatal
4599,employe is struck by a construct vehicl and is kill,Fatal
4600,employe die of natur caus,Fatal
4601,employe is burn in explos and later die,Fatal
4602,employe is kill by a grain elev manlift,Fatal
4603,employe fall from roof when boom tip over and is kill,Fatal
4604,employe is kill fall from scaffold,Fatal
4605,employe fall and is kill,Fatal
4606,logger is kill when hit by tree branch.,Fatal
4607,employe is shot and kill,Fatal
4608,employe is crush and kill when wall collaps,Fatal
4609,employe is electrocut when flat bed trailer contact over,Fatal
4610,employe suffer heat stroke and die,Fatal
4611,employe is kill when run over by skip loader at a truck w,Fatal
4612,employe die from heart attack,Fatal
4613,employe die from heart attack,Fatal
4614,employe suffer cardiac arrest and die,Fatal
4615,welder is kill from chemic burn when tank explod,Fatal
4616,employe is kill when struck by tree trunk.,Fatal
4617,employe is kill fall from ladder.,Fatal
